val_loss,val_acc,train_loss,train_acc
9.284939795732498,0.5245536,74.69588,0.495
9.169639885425568,0.5215774,50.906853,0.50625
8.339355736970901,0.5215774,48.266518,0.5029167
8.657555490732193,0.5558036,46.544067,0.51375
8.388413816690445,0.50744045,44.051537,0.5366667
7.775397539138794,0.56473213,43.749912,0.52916664
7.501282125711441,0.55803573,42.20595,0.50375
6.535905510187149,0.5863095,38.07187,0.54291666
7.550924390554428,0.5327381,32.83576,0.57166666
5.393305167555809,0.59598213,29.63745,0.5754167
4.95654758810997,0.5744048,29.629696,0.54875
3.636743128299713,0.62276787,20.465824,0.5858333
4.504989415407181,0.5974702,15.642708,0.5966667
3.2828971333801746,0.62276787,15.55424,0.60041666
3.0111526139080524,0.61383927,12.443955,0.60541666
4.1069939555600286,0.6108631,11.3598995,0.60625
3.638682191260159,0.62053573,10.300997,0.60625
3.023704700404778,0.6160714,8.569006,0.6175
2.298971019219607,0.64508927,7.914684,0.60875
2.2550330082303844,0.63616073,3.3520033,0.6245833
2.362102842249442,0.63616073,2.4143598,0.62416667
2.1256545607175212,0.640625,1.0743356,0.6304167
2.5477049208711833,0.6473214,0.7888466,0.6308333
2.3544078536760935,0.65401787,0.35876566,0.6308333
2.919198896133821,0.640625,0.20025736,0.6308333
2.5233682252383005,0.6495536,0.25226772,0.6308333
2.5731509308652676,0.6473214,0.11652816,0.6308333
2.6257257324707552,0.65401787,0.15549235,0.6308333
2.3244481524639014,0.65401787,0.077190034,0.6308333
2.4707925162906577,0.65401787,0.0459923,0.6308333
2.618027786416633,0.65401787,0.03215766,0.6308333
2.691452381327508,0.65401787,0.026397694,0.6308333
