val_loss,val_acc,train_loss,train_acc
1.9133968353271484,0.62158203,10.708451,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9110369980335236,0.62158203,10.671107,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9118291437625885,0.62158203,10.656144,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9095094501972198,0.62158203,10.69319,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.910998523235321,0.62158203,10.808622,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.909251719713211,0.62158203,10.62055,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9103388488292694,0.62158203,10.811604,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9119007289409637,0.62158203,10.682686,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9102725386619568,0.62158203,10.814613,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9122257828712463,0.62158203,10.677983,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9119059443473816,0.62158203,10.709091,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.911461740732193,0.62158203,10.635433,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.909992516040802,0.62158203,10.696273,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9119053184986115,0.62158203,10.645873,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9081169664859772,0.62158203,10.513148,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9045166969299316,0.62158203,10.806363,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.903880625963211,0.62158203,10.64552,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.906419962644577,0.62158203,10.717263,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9048191905021667,0.62158203,10.545393,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9045882523059845,0.62158203,10.581262,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9030516147613525,0.62158203,10.6411705,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.9038627445697784,0.62158203,10.727832,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9052341282367706,0.62158203,10.634075,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.9027616083621979,0.62158203,10.61769,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9030978977680206,0.62158203,10.634537,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9032116532325745,0.62158203,10.796405,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.904512494802475,0.62158203,10.594815,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.9020554423332214,0.62158203,10.629396,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.896955817937851,0.62158203,10.491388,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.8957168757915497,0.62158203,10.576926,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.898038387298584,0.62158203,10.679897,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.8973328471183777,0.62158203,10.690755,"tf.Tensor(0.5409471, shape=(), dtype=float32)"
1.898993730545044,0.62158203,10.580678,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.8979860246181488,0.62158203,10.661552,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.8974564373493195,0.62158203,10.669461,"tf.Tensor(0.5413583, shape=(), dtype=float32)"
1.8986960053443909,0.62158203,10.710632,"tf.Tensor(0.5409471, shape=(), dtype=float32)"
1.8969655632972717,0.62158203,10.516586,"tf.Tensor(0.5409471, shape=(), dtype=float32)"
1.8948177695274353,0.62158203,10.585566,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
1.895954042673111,0.62158203,10.672747,"tf.Tensor(0.54094714, shape=(), dtype=float32)"
1.8964925408363342,0.62158203,10.660293,"tf.Tensor(0.54135823, shape=(), dtype=float32)"
